open_time;open;high;low;close;volume;close_time;quote_asset_volume;number_of_trades;taker_buy_base_asset_volume;taker_buy_quote_asset_volume;ignore;symbol;timestamp
1626134400000;1715.74000000;1731.48000000;1633.34000000;1659.65;48994.68551000;1626220799999;82548654.50050950;182947;24738.27622000;41690312.89042370;0;ETHEUR;2021-07-13
1626220800000;1659.32000000;1730.00000000;1596.01000000;1712.23;48921.29768000;1626307199999;81497218.81869550;195548;24564.45695000;40926285.72289270;0;ETHEUR;2021-07-14
1626307200000;1711.97000000;1752.10000000;1616.69000000;1647.22;53429.69643000;1626393599999;88703299.24502610;197637;26690.22775000;44302323.85743860;0;ETHEUR;2021-07-15
1626393600000;1646.87000000;1683.01000000;1576.68000000;1596.17;54104.24794000;1626479999999;87699545.76506870;196979;30557.34121000;49509024.07069370;0;ETHEUR;2021-07-16
1626480000000;1596.30000000;1643.95000000;1581.95000000;1624.19;34522.45638000;1626566399999;55588353.72659230;154315;17708.93079000;28519076.68011340;0;ETHEUR;2021-07-17
1626566400000;1624.27000000;1700.00000000;1610.00000000;1618.65;35777.81604000;1626652799999;59330300.48826980;134025;18468.75335000;30633393.62638240;0;ETHEUR;2021-07-18
1626652800000;1618.64000000;1645.27000000;1540.00000000;1559.5;39467.10354000;1626739199999;62457717.86046510;103495;21818.29622000;34561849.69911640;0;ETHEUR;2021-07-19
1626739200000;1559.86000000;1578.74000000;1477.12000000;1537.47;49152.83779000;1626825599999;74644749.27069500;119754;23945.56175000;36365720.81311170;0;ETHEUR;2021-07-20
1626825600000;1537.69000000;1738.55000000;1511.90000000;1713.57;96289.33423000;1626911999999;159262107.87307900;157039;50732.96316000;83966426.69142900;0;ETHEUR;2021-07-21
1626912000000;1713.65000000;1749.47000000;1672.32000000;1738.38;84267.27001000;1626998399999;144424208.17294830;124530;42096.85722000;72170266.51560000;0;ETHEUR;2021-07-22
1626998400000;1738.45000000;1827.23000000;1714.08000000;1821.03;41320.55477000;1627084799999;72988012.67527830;97243;20501.44924000;36221639.96728470;0;ETHEUR;2021-07-23
1627084800000;1821.45000000;1888.66000000;1802.67000000;1874.05;34771.81425000;1627171199999;64140837.11280970;102217;18824.75594000;34721016.42841400;0;ETHEUR;2021-07-24
1627171200000;1874.22000000;1883.25000000;1809.56000000;1875.39;32569.29060000;1627257599999;60278310.10934120;99775;16555.19945000;30644267.74554280;0;ETHEUR;2021-07-25
1627257600000;1875.36000000;2068.12000000;1859.00000000;1895.56;86856.40722000;1627343999999;171302182.92555630;316012;44754.14760000;88294127.24116170;0;ETHEUR;2021-07-26
1627344000000;1895.93000000;1987.97000000;1832.10000000;1963.0;62510.99455000;1627430399999;119375120.84067970;241350;31002.08827000;59213269.07886840;0;ETHEUR;2021-07-27
1627430400000;1962.50000000;1998.60000000;1915.35000000;1962.68;54170.38392000;1627516799999;106193312.41663370;214365;27167.09904000;53260722.35453020;0;ETHEUR;2021-07-28
1627516800000;1963.36000000;2037.85000000;1935.22000000;2024.07;32765.76250000;1627603199999;64646912.19089290;140036;17116.97820000;33788790.55000310;0;ETHEUR;2021-07-29
